Time (s),Time (m),PO2 (%),O2 (mg/L),VO2 (mg O2/hr)
0,0,90.256,6.0652032,
300,5,89.326,6.0027072,0.2999808
600,10,88.862,5.9715264,
900,15,88.215,5.928048,0.20869632
1200,20,87.624,5.8883328,
1500,25,87.076,5.8515072,
1800,30,86.533,5.8150176,
2100,35,86.271,5.7974112,
2400,40,86.309,5.7999648,
2700,45,84.871,5.7033312,
3000,50,85.097,5.7185184,
3300,55,84.083,5.6503776,0.32707584
3600,60,83.459,5.6084448,
3900,65,82.883,5.5697376,
4200,70,83.718,5.6258496,
4500,75,81.746,5.4933312,
4800,80,81.338,5.4659136,
5100,85,80.174,5.3876928,
5400,90,79.499,5.3423328,
5700,95,78.984,5.3077248,
6000,100,78.303,5.2619616,
6300,105,77.677,5.2198944,0.20192256
6600,110,77.617,5.2158624,
6900,115,76.99,5.173728,0.20224512
7200,120,76.542,5.1436224,
7500,125,75.431,5.0689632,
7800,130,75.498,5.0734656,
8100,135,74.147,4.9826784,
8400,140,73.468,4.9370496,
8700,145,73.045,4.908624,
9000,150,72.028,4.8402816,
9300,155,71.849,4.8282528,
9600,160,70.932,4.7666304,
9900,165,70.344,4.7271168,0.18966528
10200,170,70.093,4.7102496,
10500,175,69.161,4.6476192,0.30062592
10800,180,68.604,4.6101888,
11100,185,68.087,4.5754464,
11400,190,67.187,4.5149664,
11700,195,66.419,4.4633568,0.24772608
12000,200,66.054,4.4388288,
12300,205,65.58,4.406976,
12600,210,65.246,4.3845312,
12900,215,64.351,4.3243872,0.2886912
13200,220,63.656,4.2776832,
13500,225,64.035,4.303152,
13800,230,62.883,4.2257376,
14100,235,63.57,4.271904,
14400,240,61.768,4.1508096,
14700,245,61.08,4.104576,0.22192128
15000,250,60.033,4.0342176,
15300,255,59.349,3.9882528,0.22063104
15600,260,58.659,3.9418848,
15900,265,58.137,3.9068064,
16200,270,57.548,3.8672256,
16500,275,57.1,3.83712,
16800,280,56.366,3.7877952,
17100,285,55.77,3.747744,0.19224576
17400,290,54.865,3.686928,
17700,295,54.412,3.6564864,
18000,300,53.996,3.6285312,
18300,305,53.206,3.5754432,0.2548224
18600,310,52.647,3.5378784,
18900,315,52.193,3.5073696,
19200,320,50.839,3.4163808,
19500,325,50.081,3.3654432,0.24450048
19800,330,49.573,3.3313056,
20100,335,48.711,3.2733792,0.27804672
20400,340,48.117,3.2334624,
20700,345,47.501,3.1920672,0.19869696
21000,350,46.819,3.1462368,
21300,355,46.326,3.1131072,
21600,360,45.824,3.0793728,
21900,365,45.037,3.0264864,0.25385472
22200,370,44.245,2.973264,
22500,375,44.717,3.0049824,
22800,380,44.296,2.9766912,
23100,385,43.251,2.9064672,
23400,390,42.746,2.8725312,
23700,395,41.296,2.7750912,
24000,400,40.669,2.7329568,
24300,405,39.797,2.6743584,0.28127232
24600,410,39.206,2.6346432,
24900,415,38.577,2.5923744,0.20289024
25200,420,37.938,2.5494336,
25500,425,37.25,2.5032,0.22192128
25800,430,36.824,2.4745728,
26100,435,36.526,2.4545472,
26400,440,35.61,2.392992,
26700,445,34.791,2.3379552,0.26417664
27000,450,33.915,2.279088,
27300,455,33.546,2.2542912,
27600,460,32.753,2.2010016,
27900,465,32.502,2.1841344,
28200,470,31.43,2.112096,
28500,475,30.874,2.0747328,0.17934336
28800,480,30.183,2.0282976,
29100,485,29.65,1.99248,0.17192448
29400,490,29.062,1.9529664,
29700,495,28.365,1.906128,0.22482432
30000,500,27.745,1.864464,
30300,505,27.286,1.8336192,
30600,510,26.406,1.7744832,
30900,515,25.866,1.7381952,0.1741824
31200,520,25.269,1.6980768,
31500,525,24.5,1.6464,
31800,530,24.011,1.6135392,
32100,535,23.459,1.5764448,0.17805312
32400,540,22.874,1.5371328,
32700,545,22.239,1.4944608,0.2048256
33000,550,21.63,1.453536,
33300,555,21.059,1.4151648,0.18418176
33600,560,20.456,1.3746432,
33900,565,19.977,1.3424544,0.15450624
34200,570,19.338,1.2995136,
34500,575,18.789,1.2626208,0.17708544
34800,580,18.25,1.2264,
35100,585,17.73,1.191456,0.1677312
35400,590,17.209,1.1564448,
35700,595,16.712,1.1230464,0.16031232
36000,600,16.176,1.0870272,
36300,605,15.652,1.0518144,0.16902144
36600,610,15.123,1.0162656,
36900,615,14.62,0.982464,0.16224768
37200,620,14.182,0.9530304,
37500,625,13.619,0.9151968,0.18160128
37800,630,13.111,0.8810592,
38100,635,12.648,0.8499456,0.14934528
38400,640,12.2,0.81984,
38700,645,11.646,0.7826112,0.17869824
39000,650,11.263,0.7568736,
39300,655,10.948,0.7357056,
39600,660,10.537,0.7080864,
39900,665,10.002,0.6721344,0.1725696
40200,670,9.527,0.6402144,
40500,675,9.088,0.6107136,0.14160384
40800,680,8.6863,0.58371936,
41100,685,8.315,0.558768,
41400,690,7.9913,0.53701536,
41700,695,7.485,0.502992,
42000,700,7.0553,0.47411616,
42300,705,6.835,0.459312,
42600,710,6.2283,0.41854176,
42900,715,5.8393,0.39240096,0.12547584
43200,720,5.4693,0.36753696,
43500,725,5.106,0.3431232,0.117186048
43800,730,4.8097,0.32321184,
44100,735,4.3457,0.29203104,
44400,740,4.0963,0.27527136,
44700,745,3.7727,0.25352544,0.104380416
45000,750,3.468,0.2330496,
45300,755,3.1617,0.21246624,0.098800128
45600,760,2.951,0.1983072,
45900,765,2.637,0.1772064,0.10128384
46200,770,2.3967,0.16105824,
46500,775,2.0987,0.14103264,0.09612288
46800,780,1.8317,0.12309024,
47100,785,1.685,0.113232,0.047319552
47400,790,1.4327,0.09627744,
47700,795,1.3287,0.08928864,0.03354624
48000,800,1.191,0.0800352,
48300,805,1.0513,0.07064736,0.045061632
48600,810,0.91033,0.061174176,
48900,815,0.80867,0.054342624,0.03279145
49200,820,0.70667,0.047488224,
49500,825,0.63367,0.042582624,0.02354688
